Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
03:23:36:21.035,61,0.1338964999,0.1973294318,0.0158194304,0.0000000000,0.0000000000,0.0390702635,0.0000000000,0.1339089125,0.1976967305,0.0000000000,0.0000000000,0.0000000000,0.0390772000,0.0000000000,0.0156548116,0.0062091174,0.0000000000,0.0085952589,0.0101874135,0.0196663458,0.0448194630,0.0000000000,0.0455564186,0.5400226712,0.6119992137,0.0000000000,0.0000000000,0.0858145207,0.1049570963,0.0390025750,0.0411025062,0.1215263084,0.0000000000,0.3667752147,0.2630557418,0.1221298501,0.1272449493,0.0515205003,0.0552773625,0.0853864774,0.1239322722,0.2186421752,0.2186865956,0.0378666036,0.0000000000,0.0000000000,0.0343428329,0.2001543641,0.2654780746,0.2676542103,0.3278798163,0.0000000268,-0.0014368705,0.0408269912,0.2730509341,0.0102090994,0.0928043723,0.0000561001,0.0081176199,0.0928317606,0.0056737424
03:23:36:22.035,61,0.1345837861,0.2002709061,0.0160068050,0.0000000000,0.0000000000,0.0385536477,0.0000000000,0.1345953047,0.2006447613,0.0000000000,0.0000000000,0.0000000000,0.0385605842,0.0000000000,0.0155494148,0.0061508561,0.0000000000,0.0086150747,0.0100687258,0.0196635518,0.0453526601,0.0000000000,0.0430975407,0.5337963700,0.6025838852,0.0000000000,0.0000000000,0.0861861259,0.1049885228,0.0390275456,0.0408804603,0.1215023547,0.0000000000,0.3672682345,0.2632770538,0.1225260049,0.1276065409,0.0513047874,0.0549628809,0.0853562579,0.1227591932,0.2180008590,0.2180371881,0.0380017757,0.0000000000,0.0000000000,0.0344673395,0.1951905191,0.2532050610,0.2672422826,0.3219240606,0.0000000463,-0.0019144975,0.0419776738,0.2711175382,0.0102928374,0.0941884220,0.0000549590,0.0082062446,0.0942158252,0.0057636942
03:23:36:23.034,61,0.1350793839,0.2013379484,0.0160258338,0.0000000000,0.0000000000,0.0380875878,0.0000000000,0.1350901425,0.2017132640,0.0000000000,0.0000000000,0.0000000000,0.0380945094,0.0000000000,0.0154994419,0.0060771955,0.0000000000,0.0086509567,0.0099440739,0.0196162816,0.0456640311,0.0000000000,0.0407967046,0.5295253992,0.5967223644,0.0000000000,0.0000000000,0.0866471380,0.1051114574,0.0391039737,0.0407135189,0.1215531528,0.0000000000,0.3675711453,0.2633411288,0.1228453740,0.1278800964,0.0511038043,0.0546527281,0.0852232203,0.1208998412,0.2173746228,0.2174028009,0.0380789451,0.0000000000,0.0000000000,0.0345428586,0.1905186176,0.2456112802,0.2664566934,0.3160616457,0.0000000540,-0.0024589747,0.0432782918,0.2692070007,0.0102982642,0.0946901441,0.0000486064,0.0082111619,0.0947176069,0.0057898429
03:23:36:24.033,61,0.1353960633,0.2020703703,0.0160730891,0.0000000000,0.0000000000,0.0375957228,0.0000000000,0.1354060620,0.2024473697,0.0000000000,0.0000000000,0.0000000000,0.0376026258,0.0000000000,0.0154497251,0.0059901443,0.0000000000,0.0087139886,0.0098569496,0.0195873193,0.0459937751,0.0000000000,0.0382892936,0.5256960988,0.5909698009,0.0000000000,0.0000000000,0.0870614573,0.1051577777,0.0392202251,0.0405778401,0.1214553043,0.0000000000,0.3676380813,0.2631347179,0.1229866594,0.1279633343,0.0509327427,0.0543691479,0.0850317553,0.1187902391,0.2165286243,0.2165312618,0.0381782353,0.0000000000,0.0000000000,0.0345388986,0.1864784956,0.2384597510,0.2650443614,0.3106219471,0.0000000657,-0.0028960779,0.0443032384,0.2671907544,0.0103187505,0.0950347483,0.0000482821,0.0082335174,0.0950622708,0.0058123781
03:23:36:25.034,61,0.1355096698,0.2025931031,0.0161901340,0.0000000000,0.0000000000,0.0370334163,0.0000000000,0.1355189830,0.2029726803,0.0000000000,0.0000000000,0.0000000000,0.0370402597,0.0000000000,0.0154269468,0.0058336346,0.0000000000,0.0087887477,0.0097553795,0.0195584800,0.0462971590,0.0000000000,0.0354471207,0.5178996325,0.5793249011,0.0000000000,0.0000000000,0.0875488445,0.1052298099,0.0393799543,0.0404678620,0.1213782579,0.0000000000,0.3679407835,0.2630982995,0.1231515929,0.1280713826,0.0506851226,0.0539987981,0.0847958848,0.1165274307,0.2141114622,0.2140745968,0.0382896885,0.0000000000,0.0000000000,0.0345175080,0.1821209788,0.2294100970,0.2634736300,0.3057199717,0.0000000719,-0.0031885505,0.0448598564,0.2648697495,0.0103768781,0.0952812582,0.0000585432,0.0082957782,0.0953087509,0.0058396501
03:23:36:26.034,61,0.1355524659,0.2031613737,0.0166169479,0.0000000000,0.0000000000,0.0364806503,0.0000000000,0.1355610937,0.2035491318,0.0000000000,0.0000000000,0.0000000000,0.0364874415,0.0000000000,0.0154467272,0.0056668851,0.0000000000,0.0088751735,0.0096575376,0.0195236634,0.0465643704,0.0000000000,0.0337032825,0.5108889937,0.5719873309,0.0000000000,0.0000000000,0.0880648196,0.1053214222,0.0396105945,0.0404229686,0.1214454323,0.0000000000,0.3683356941,0.2631873786,0.1233688816,0.1282358021,0.0504439883,0.0536328368,0.0845701918,0.1151629165,0.2119262516,0.2118619680,0.0384948216,0.0000000000,0.0000000000,0.0344870538,0.1798067987,0.2253906131,0.2624742985,0.3033804893,0.0000000688,-0.0030666254,0.0450284034,0.2627513707,0.0106065972,0.0955511332,0.0001099114,0.0085298978,0.0955786109,0.0059095626
03:23:36:27.034,61,0.1357294917,0.2038486004,0.0173942558,0.0000000000,0.0000000000,0.0360022038,0.0000000000,0.1357374489,0.2042507380,0.0000000000,0.0000000000,0.0000000000,0.0360088982,0.0000000000,0.0154858977,0.0053874920,0.0000000000,0.0090002660,0.0096447840,0.0195608493,0.0467651598,0.0000000000,0.0319677629,0.5049650669,0.5642264485,0.0000000000,0.0000000000,0.0883541331,0.1051325202,0.0399755388,0.0405305512,0.1214779839,0.0000000000,0.3687159717,0.2632009685,0.1233803928,0.1281734109,0.0502835326,0.0533429943,0.0845101252,0.1142733246,0.2098345160,0.2097508609,0.0388014205,0.0000000000,0.0000000000,0.0343100652,0.1786023229,0.2232456207,0.2620276511,0.3021880388,0.0000000719,-0.0029505752,0.0451303571,0.2607143521,0.0110362787,0.0958791673,0.0002089052,0.0089580826,0.0959067494,0.0060294070
03:23:36:28.034,61,0.1360116154,0.2050693333,0.0185323060,0.0000000000,0.0000000000,0.0354737379,0.0000000000,0.1360189021,0.2054930180,0.0000000000,0.0000000000,0.0000000000,0.0354803018,0.0000000000,0.0155364117,0.0050569577,0.0000000000,0.0091261389,0.0096786711,0.0196244735,0.0468008146,0.0000000000,0.0297870748,0.5006685853,0.5566365123,0.0000000000,0.0000000000,0.0884644166,0.1047260612,0.0403682515,0.0406750999,0.1214202121,0.0000000000,0.3687798381,0.2628952265,0.1232009977,0.1278968304,0.0501893498,0.0531081334,0.0845172331,0.1135298982,0.2074221671,0.2073234022,0.0391183235,0.0000000000,0.0000000000,0.0339908823,0.1776394099,0.2205717564,0.2616683841,0.3012697995,0.0000000665,-0.0025503598,0.0458049476,0.2586834431,0.0116559369,0.0964604616,0.0003506958,0.0095836706,0.0964880437,0.0062102615
03:23:36:29.034,61,0.1363327205,0.2058565766,0.0191941708,0.0000000000,0.0000000000,0.0349293016,0.0000000000,0.1363393962,0.2062928528,0.0000000000,0.0000000000,0.0000000000,0.0349356942,0.0000000000,0.0156160127,0.0047489912,0.0000000000,0.0092168869,0.0096818255,0.0196822956,0.0467074700,0.0000000000,0.0284396429,0.4888481200,0.5440528393,0.0000000000,0.0000000000,0.0884944126,0.1042503491,0.0408181474,0.0408923253,0.1214623228,0.0000000000,0.3691032231,0.2628536820,0.1231316924,0.1277444959,0.0500434563,0.0528185107,0.0845910162,0.1129619628,0.2052004784,0.2050926834,0.0394803733,0.0000000000,0.0000000000,0.0336208120,0.1763270944,0.2166319638,0.2613866925,0.3005777895,0.0000000628,-0.0023892969,0.0466694236,0.2568751574,0.0120198876,0.0968349129,0.0004338862,0.0099469721,0.0968625247,0.0063175508
03:23:36:30.034,61,0.1365090609,0.2057508677,0.0199007913,0.0000000000,0.0000000000,0.0342868641,0.0000000000,0.1365151852,0.2061995715,0.0000000000,0.0000000000,0.0000000000,0.0342931189,0.0000000000,0.0157383457,0.0044956310,0.0000000000,0.0092952130,0.0096470034,0.0196697284,0.0462572090,0.0000000000,0.0271399990,0.4827557206,0.5371362567,0.0000000000,0.0000000000,0.0886342227,0.1038934737,0.0413018875,0.0411293358,0.1216419935,0.0000000000,0.3691028357,0.2625888586,0.1231076419,0.1276502162,0.0499086305,0.0525290146,0.0845107362,0.1122375652,0.2024414390,0.2023275793,0.0398157164,0.0000000000,0.0000000000,0.0332275480,0.1706091166,0.2059002966,0.2608222961,0.2988037467,0.0000000618,-0.0023839399,0.0477931499,0.2548906803,0.0124095306,0.0967899263,0.0005290827,0.0103400797,0.0968174636,0.0064105219
